ID,stars_tot,forks_tot,auth_tot,authors_ma3,commits_ma3,comments_ma3,PR_open_ma3,days_inactive
1,72112,59013,6242,150.33,360,2440.67,170.67,0.006
2,4904,10079,728,13.33,39,23,3,0.696
52,4799,3023,594,35.67,18.67,138,19.33,0.287
74,15491,4684,1663,28.33,14,91.67,9.33,0.031
109,81,59,34,5.33,6,14,2.33,11.677
131,1573,4227,502,15.67,95.67,140.67,32,0.474
213,375,261,69,0,0,0,0,19.866
258,49,60,19,1,423.67,0,1,1.623
268,10,5,12,3,20,1,5,88.392
291,32,25,23,0,0,0,0,64.128
328,7484,6590,2009,53.67,3,224.33,12,0.028
463,1176,1408,343,2.33,70.5,34.33,8,0.317
512,3320,2050,379,17,80.33,171.33,14,0.433
541,156,227,127,7.33,147.67,27.67,0,2.242
693,160,76,70,2.67,4.33,1.33,0.5,5.753
873,132,183,59,0,0,0,0,257.426
1027,40452,28052,7465,164,45,448,76.67,0.019
1104,888,508,225,1,0,0.33,2,1.438
1168,722,692,195,10,24,59,15,0.211
1214,144,90,63,5.33,71.5,14.67,6.5,4.9
1229,12,4,3,0,0,0,0,252.647
1230,2185,1772,630,3,4.5,1.67,2,4.61
1274,1307,966,307,6.67,137.67,9.67,14,0.872
1321,151,120,80,8,41,9,5,0.203
1343,71,71,37,8,150.33,52.33,37.67,0.841
1376,3388,2019,423,13.67,3,42.33,4,0.78
1414,157,59,54,14.33,50.33,43.67,10.33,0.793
1437,4724,3290,1059,18,107.67,327,36.33,0.006
1455,230,31,87,14.67,83.33,45.33,16.33,0.806
1518,425,316,29,0,0,0,0,0.637
1521,144,152,81,14.33,160.67,103.67,41.33,0.183
1552,109,58,8,1.5,31.5,1,0,0.054
1556,1,2,1,0,0,0,0,31.038
1567,1225,572,222,17,58.67,86.33,30.67,0.595
1586,357,1103,134,5,61,6.67,15.67,2.049
1637,442,55,31,1,17,0,1,1.049
1659,729,509,116,7.33,7,5.67,4.67,1.033
1680,134,36,42,5,8,3.33,4.67,1
1684,1387,1057,255,4.33,49.33,2,1,0.618
1697,42,39,37,8,97.33,32.33,51.33,1.204
1698,131,63,56,7,21.33,18,3,0.112
1720,407,218,76,2.67,14.33,15,13.67,1.017
1727,199,128,15,3.67,46,18.67,3.67,0.462
1732,71,17,3,0,0,0,0,7.872
1750,7,16,12,0,0,0,0,766.061
1757,1,0,6,1.67,36,0,4,1.449
1759,707,487,184,17.67,232,122.33,27.67,0.276
1762,422,185,137,17.33,179.33,96.67,25,0.032
1765,13149,8712,2698,25.67,274.67,64.67,41.33,2.067
1768,13,3,7,1.67,5,0,3,4.84
1772,2402,686,356,35.67,123.33,95,14.67,0.335
1808,47,26,13,1,0,0,1,8.793
1816,26,11,31,1,0,0,1,43.441
1839,79,71,73,38,5,121,2,0.076
1856,148,93,15,0,0,0,0,10.899
1866,1532,937,281,1,0,0,0,9.124
1883,32,25,26,6,69,17.67,12.33,2.321
1896,1072,947,281,0,0,0,0,4.25
1934,484,216,59,5,8.67,7,6.67,1.031
1958,3552,2191,977,28,76,53,34,0.116
1966,107,75,21,4.67,8.67,6.33,4.67,0.902
1975,3382,1400,380,55.67,1522,705.33,157,0.247
1993,16,14,15,2,0,0.5,0,57.432
2010,2724,748,656,70.33,826.67,363.67,46,0.249
2021,773,470,110,8,126,152,15,0.193
2062,778,279,130,0,0,0,0,7.894
2071,205,91,44,11,202.33,124,29.67,0.156
2083,768,896,508,3,0,3,1,5.847
2090,8,14,6,0,0,0,0,1314.588
